rank,score_lower_bound,targetability_score,score_upper_bound,gross,penalty_total,problem_id,canonical_group_id,title,source,domain,difficulty_level,impact_score,claim_kind,route,eligibility_status,resolution_leverage,statement_status_confidence,certificate_verifier_readiness,search_compressibility,boundary_leverage,feedback_quality,local_reuse
18,56,61,66,76,15,unsolvedmath-opg-491,unsolvedmath:unsolvedmath-opg-491,Odd incongruent covering systems,UnsolvedMath,number_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
19,56,61,66,76,15,unsolvedmath-opg-600,unsolvedmath:unsolvedmath-opg-600,Matchings extend to Hamiltonian cycles in hypercubes,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
20,55,60,65,81,21,unsolvedmath-opg-335,unsolvedmath:unsolvedmath-opg-335,"Reed's omega, delta, and chi conjecture",UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,16,14,3,8,5
21,55,60,65,80,20,unsolvedmath-opg-46475,unsolvedmath:unsolvedmath-opg-46475,Strong edge colouring conjecture,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,16,14,3,7,5
22,55,60,65,79,19,unsolvedmath-opg-60055,unsolvedmath:unsolvedmath-opg-60055,Chromatic number of $\frac{3}{3}$-power of graph,UnsolvedMath,graph_theory,1,20,equivalence_claim,counterexample,new_strategy_only,20,15,16,14,3,6,5
23,55,60,65,79,19,unsolvedmath-opg-638,unsolvedmath:unsolvedmath-opg-638,Jones' conjecture,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,16,14,3,6,5
24,55,60,65,78,18,unsolvedmath-geo-025,unsolvedmath:unsolvedmath-geo-025,Kalai's $3^d$ Conjecture,UnsolvedMath,geometry,4,80,universal_claim,counterexample,new_strategy_only,12,15,15,16,9,6,5
25,55,60,65,77,17,unsolvedmath-opg-804,unsolvedmath:unsolvedmath-opg-804,Edge Reconstruction Conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,5,5
26,54,61,68,64,3,unsolvedmath-opg-337,unsolvedmath:unsolvedmath-opg-337,Gao's theorem for nonabelian groups,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,10,12,2,5,2
27,54,59,64,80,21,unsolvedmath-opg-156,unsolvedmath:unsolvedmath-opg-156,Few subsequence sums in Z_n x Z_n,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,16,3,6,5
28,54,59,64,75,16,unsolvedmath-kou-21.99,unsolvedmath:unsolvedmath-kou-21.99,Kourovka Notebook Problem 21.99,UnsolvedMath,group_theory,3,60,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,17,16,9,5,5
29,54,59,64,74,15,unsolvedmath-kou-21.26,unsolvedmath:unsolvedmath-kou-21.26,Kourovka Notebook Problem 21.26,UnsolvedMath,group_theory,2,40,mixed_quantifiers,subclaim_decomposition,not_counterexample_target,8,15,17,16,9,4,5
30,53,62,71,67,5,formal-conjectures-reed-omega-delta-chi-conjecture-for-finite-graphs,formal_conjectures:formal-conjectures-reed-omega-delta-chi-conjecture-for-finite-graphs,Formal Conjectures: reed_omega_delta_chi_conjecture_for_finite_graphs,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,11,11,0,6,4
31,53,61,69,64,3,unsolvedmath-ep-671,erdos:671,Erdős Problem #671,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,10,16,1,2,2
32,53,60,67,65,5,unsolvedmath-kou-21.137,unsolvedmath:unsolvedmath-kou-21.137,Kourovka Notebook Problem 21.137,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,candidate_already_found,4,15,20,14,3,4,5
33,53,58,63,76,18,unsolvedmath-opg-143,unsolvedmath:unsolvedmath-opg-143,Petersen coloring conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
34,53,58,63,71,13,unsolvedmath-kou-21.35,unsolvedmath:unsolvedmath-kou-21.35,Kourovka Notebook Problem 21.35,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,new_strategy_only,12,15,18,14,3,4,5
35,52,59,66,63,4,unsolvedmath-opg-165,unsolvedmath:unsolvedmath-opg-165,Ryser's conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,12,2,7,2
36,52,59,66,62,3,unsolvedmath-opg-313,unsolvedmath:unsolvedmath-opg-313,The Crossing Number of the Hypercube,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,4,2
37,52,59,66,62,3,unsolvedmath-opg-37271,unsolvedmath:unsolvedmath-opg-37271,Star chromatic index of cubic graphs,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,7,2
38,52,59,66,62,3,unsolvedmath-opg-401,unsolvedmath:unsolvedmath-opg-401,Circular coloring triangle-free subcubic planar graphs,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,7,2
39,52,57,62,78,21,unsolvedmath-opg-37396,unsolvedmath:unsolvedmath-opg-37396,"3 is a primitive root modulo primes of the form 16 q^4 + 1, where q>3 is prime",UnsolvedMath,number_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,16,3,4,5
40,52,57,62,77,20,unsolvedmath-opg-46613,unsolvedmath:unsolvedmath-opg-46613,Partition of a cubic 3-connected graphs into paths of length 2.,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,5,5
41,52,57,62,76,19,unsolvedmath-kou-21.25,unsolvedmath:unsolvedmath-kou-21.25,Kourovka Notebook Problem 21.25,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
42,52,57,62,76,19,unsolvedmath-opg-60029,unsolvedmath:unsolvedmath-opg-60029,Cycle Double Covers Containing Predefined 2-Regular Subgraphs,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
43,52,57,62,76,19,unsolvedmath-opg-543,unsolvedmath:unsolvedmath-opg-543,The intersection of two perfect matchings,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
44,51,60,69,67,7,formal-conjectures-agrawal-conjecture-variants-popovych,formal_conjectures:formal-conjectures-agrawal-conjecture-variants-popovych,Formal Conjectures: agrawal_conjecture.variants.popovych,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,10,13,1,4,4
45,51,58,65,62,4,unsolvedmath-kou-21.100,unsolvedmath:unsolvedmath-kou-21.100,Kourovka Notebook Problem 21.100,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,9,14,0,4,2
46,51,58,65,61,3,unsolvedmath-opg-145,unsolvedmath:unsolvedmath-opg-145,Acyclic edge-colouring,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
47,51,56,61,76,20,unsolvedmath-opg-37038,unsolvedmath:unsolvedmath-opg-37038,Domination in cubic graphs,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
48,50,58,66,61,3,unsolvedmath-ep-193,erdos:193,Erdős Problem #193,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,3,2
49,50,58,66,61,3,unsolvedmath-ep-41,erdos:41,Erdős Problem #41,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,16,0,1,2
50,50,58,66,61,3,unsolvedmath-ep-627,erdos:627,Erdős Problem #627,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,8,14,0,4,2
51,50,57,64,64,7,formal-conjectures-conjecture141,formal_conjectures:formal-conjectures-conjecture141,Formal Conjectures: conjecture141,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,11,9,0,5,4
52,50,57,64,63,6,unsolvedmath-guy-a20,unsolvedmath:unsolvedmath-guy-a20,Density of Symmetric Primes,UnsolvedMath,number_theory,3,60,equivalence_claim,counterexample,modeling_candidate,18,15,9,14,1,4,2
53,50,57,64,61,4,unsolvedmath-kou-21.33,unsolvedmath:unsolvedmath-kou-21.33,Kourovka Notebook Problem 21.33,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,3,2
54,50,57,64,61,4,unsolvedmath-kou-21.6,unsolvedmath:unsolvedmath-kou-21.6,Kourovka Notebook Problem 21.6,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,16,0,1,2
55,50,57,64,61,4,unsolvedmath-opg-46359,unsolvedmath:unsolvedmath-opg-46359,Directed path of length twice the minimum outdegree,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
56,50,57,64,61,4,unsolvedmath-opg-46460,unsolvedmath:unsolvedmath-opg-46460,Long directed cycles in diregular digraphs,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
57,50,57,64,61,4,unsolvedmath-opg-47282,unsolvedmath:unsolvedmath-opg-47282,Hoàng-Reed Conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,6,2
58,50,57,64,61,4,unsolvedmath-opg-550,unsolvedmath:unsolvedmath-opg-550,Coloring and immersion,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,9,14,0,3,2
59,50,57,64,61,4,unsolvedmath-opg-616,unsolvedmath:unsolvedmath-opg-616,Coloring the Odd Distance Graph,UnsolvedMath,graph_theory,2,40,equivalence_claim,counterexample,modeling_candidate,18,15,10,14,0,2,2
60,50,57,64,60,3,unsolvedmath-opg-155,unsolvedmath:unsolvedmath-opg-155,Olson's Conjecture,UnsolvedMath,number_theory,1,20,equivalence_claim,counterexample,needs_status_audit,18,15,10,12,0,3,2
61,50,57,64,60,3,unsolvedmath-opg-37420,unsolvedmath:unsolvedmath-opg-37420,Minimal graphs with a prescribed number of spanning trees,UnsolvedMath,graph_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,9,14,0,2,2
62,50,57,64,60,3,unsolvedmath-opg-46606,unsolvedmath:unsolvedmath-opg-46606,Decomposing an eulerian graph into cycles with no two consecutives edges on a prescribed eulerian tour.,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
63,50,57,64,60,3,unsolvedmath-opg-478,unsolvedmath:unsolvedmath-opg-478,Rainbow AP(4) in an almost equinumerous coloring,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,2,2
64,50,57,64,60,3,unsolvedmath-opg-59911,unsolvedmath:unsolvedmath-opg-59911,Forcing a 2-regular minor,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
65,50,57,64,60,3,unsolvedmath-opg-618,unsolvedmath:unsolvedmath-opg-618,Monotone 4-term Arithmetic Progressions,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,2,2
66,50,55,60,76,21,unsolvedmath-opg-128,unsolvedmath:unsolvedmath-opg-128,3-flow conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
67,50,55,60,76,21,unsolvedmath-opg-154,unsolvedmath:unsolvedmath-opg-154,Jorgensen's Conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
68,50,55,60,76,21,unsolvedmath-opg-161,unsolvedmath:unsolvedmath-opg-161,Hamiltonian paths and cycles in vertex transitive graphs,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
69,50,55,60,76,21,unsolvedmath-opg-385,unsolvedmath:unsolvedmath-opg-385,Barnette's Conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
70,50,55,60,76,21,unsolvedmath-opg-37404,unsolvedmath:unsolvedmath-opg-37404,Sum of prime and semiprime conjecture,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
71,49,57,65,60,3,unsolvedmath-ep-561,erdos:561,Erdős Problem #561,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
72,49,56,63,66,10,unsolvedmath-graph-005,unsolvedmath:unsolvedmath-graph-005,Lovász Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,10,16,2,3,2
73,49,56,63,66,10,unsolvedmath-graph-008,unsolvedmath:unsolvedmath-graph-008,Cereceda's Conjecture,UnsolvedMath,graph_theory,4,80,universal_claim,counterexample,needs_status_audit,18,15,10,16,0,5,2
74,49,56,63,63,7,formal-conjectures-crystals-components-unique,formal_conjectures:formal-conjectures-crystals-components-unique,Formal Conjectures: crystals_components_unique,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,11,9,0,4,4
75,49,56,63,62,6,unsolvedmath-graph-055,unsolvedmath:unsolvedmath-graph-055,Teschner's Bondage Number Conjecture,UnsolvedMath,graph_theory,3,60,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,7,2
76,49,56,63,60,4,unsolvedmath-kou-21.63,unsolvedmath:unsolvedmath-kou-21.63,Kourovka Notebook Problem 21.63,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,8,14,1,2,2
77,49,56,63,60,4,unsolvedmath-opg-140,unsolvedmath:unsolvedmath-opg-140,Faithful cycle covers,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,14,1,3,2
78,49,56,63,60,4,unsolvedmath-opg-1808,unsolvedmath:unsolvedmath-opg-1808,Monochromatic reachability or rainbow triangles,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
79,49,56,63,60,4,unsolvedmath-opg-2110,unsolvedmath:unsolvedmath-opg-2110,Edge list coloring conjecture,UnsolvedMath,graph_theory,2,40,equivalence_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
80,49,56,63,60,4,unsolvedmath-opg-46167,unsolvedmath:unsolvedmath-opg-46167,Oriented trees in n-chromatic digraphs,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
81,49,56,63,60,4,unsolvedmath-opg-646,unsolvedmath:unsolvedmath-opg-646,Seymour's Second Neighbourhood Conjecture,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,5,2
82,49,56,63,59,3,unsolvedmath-opg-34839,unsolvedmath:unsolvedmath-opg-34839,Double-critical graph conjecture,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,4,2
83,49,56,63,59,3,unsolvedmath-opg-37163,unsolvedmath:unsolvedmath-opg-37163,Friendly partitions,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,14,1,2,2
84,49,56,63,59,3,unsolvedmath-opg-407,unsolvedmath:unsolvedmath-opg-407,Laplacian Degrees of a Graph,UnsolvedMath,graph_theory,1,20,equivalence_claim,counterexample,needs_status_audit,18,15,8,12,0,4,2
85,49,56,63,59,3,unsolvedmath-opg-46279,unsolvedmath:unsolvedmath-opg-46279,Antidirected trees in digraphs,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,4,2
86,49,56,63,59,3,unsolvedmath-opg-52197,unsolvedmath:unsolvedmath-opg-52197,Large acyclic induced subdigraph in a planar oriented graph.,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,4,2
87,49,56,63,59,3,unsolvedmath-opg-735,unsolvedmath:unsolvedmath-opg-735,End-Devouring Rays,UnsolvedMath,graph_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,9,14,0,1,2
88,49,54,59,76,22,unsolvedmath-opg-55810,unsolvedmath:unsolvedmath-opg-55810,Are all Fermat Numbers square-free?,UnsolvedMath,number_theory,2,40,universal_claim,counterexample,new_strategy_only,20,15,15,14,3,4,5
89,48,56,64,59,3,unsolvedmath-ep-1094,erdos:1094,Erdős Problem #1094,UnsolvedMath,number_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,8,12,3,1,2
90,48,56,64,59,3,unsolvedmath-ep-129,erdos:129,Erdős Problem #129,UnsolvedMath,graph_theory,1,20,equivalence_claim,counterexample,modeling_candidate,18,15,7,12,2,3,2
91,48,56,64,59,3,unsolvedmath-ep-151,erdos:151,Erdős Problem #151,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,5,2
92,48,56,64,59,3,unsolvedmath-ep-241,erdos:241,Erdős Problem #241,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,12,0,5,2
93,48,56,64,59,3,unsolvedmath-ep-612,erdos:612,Erdős Problem #612,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,modeling_candidate,18,15,8,12,0,4,2
94,48,55,62,62,7,formal-conjectures-lander-parkin-selfridge,formal_conjectures:formal-conjectures-lander-parkin-selfridge,Formal Conjectures: lander_parkin_selfridge,Google DeepMind Formal Conjectures,research_mathematics,,50,universal_claim,counterexample,needs_status_audit,20,15,9,9,1,4,4
95,48,55,62,61,6,unsolvedmath-graph-016,unsolvedmath:unsolvedmath-graph-016,Conway's Thrackle Conjecture,UnsolvedMath,graph_theory,3,60,universal_claim,counterexample,needs_status_audit,18,15,8,12,2,4,2
96,48,55,62,61,6,unsolvedmath-kou-21.68,unsolvedmath:unsolvedmath-kou-21.68,Kourovka Notebook Problem 21.68,UnsolvedMath,group_theory,3,60,universal_claim,counterexample,needs_status_audit,18,15,9,14,0,3,2
97,48,55,62,59,4,unsolvedmath-kou-21.52,unsolvedmath:unsolvedmath-kou-21.52,Kourovka Notebook Problem 21.52,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,1,2
98,48,55,62,59,4,unsolvedmath-kou-21.53,unsolvedmath:unsolvedmath-kou-21.53,Kourovka Notebook Problem 21.53,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,1,2
99,48,55,62,59,4,unsolvedmath-kou-21.84,unsolvedmath:unsolvedmath-kou-21.84,Kourovka Notebook Problem 21.84,UnsolvedMath,group_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,1,2
100,48,55,62,59,4,unsolvedmath-opg-170,unsolvedmath:unsolvedmath-opg-170,Linial-Berge path partition duality,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,5,2
101,48,55,62,59,4,unsolvedmath-opg-307,unsolvedmath:unsolvedmath-opg-307,The Crossing Number of the Complete Graph,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,5,2
102,48,55,62,59,4,unsolvedmath-opg-310,unsolvedmath:unsolvedmath-opg-310,The Crossing Number of the Complete Bipartite Graph,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,5,2
103,48,55,62,59,4,unsolvedmath-opg-37117,unsolvedmath:unsolvedmath-opg-37117,Are different notions of the crossing number the same?,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,5,2
104,48,55,62,59,4,unsolvedmath-opg-48368,unsolvedmath:unsolvedmath-opg-48368,Are almost all graphs determined by their spectrum?,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,1,2
105,48,55,62,59,4,unsolvedmath-opg-690,unsolvedmath:unsolvedmath-opg-690,Strong matchings and covers,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,modeling_candidate,18,15,9,14,0,1,2
106,48,55,62,59,4,unsolvedmath-opg-798,unsolvedmath:unsolvedmath-opg-798,Degenerate colorings of planar graphs,UnsolvedMath,graph_theory,2,40,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,4,2
107,48,55,62,58,3,unsolvedmath-opg-135,unsolvedmath:unsolvedmath-opg-135,Real roots of the flow polynomial,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
108,48,55,62,58,3,unsolvedmath-opg-37226,unsolvedmath:unsolvedmath-opg-37226,Sequence defined on multisets,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,needs_status_audit,18,15,8,12,0,3,2
109,48,55,62,58,3,unsolvedmath-opg-37305,unsolvedmath:unsolvedmath-opg-37305,Extremal problem on the number of tree endomorphism,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
110,48,55,62,58,3,unsolvedmath-opg-37907,unsolvedmath:unsolvedmath-opg-37907,Mixing Circular Colourings,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
111,48,55,62,58,3,unsolvedmath-opg-426,unsolvedmath:unsolvedmath-opg-426,Long rainbow arithmetic progressions,UnsolvedMath,combinatorics,1,20,universal_claim,counterexample,modeling_candidate,18,15,7,14,1,1,2
112,48,55,62,58,3,unsolvedmath-opg-46634,unsolvedmath:unsolvedmath-opg-46634,Large induced forest in a planar graph.,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
113,48,55,62,58,3,unsolvedmath-opg-46824,unsolvedmath:unsolvedmath-opg-46824,Odd-cycle transversal in triangle-free graphs,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
114,48,55,62,58,3,unsolvedmath-opg-46837,unsolvedmath:unsolvedmath-opg-46837,Triangle-packing vs triangle edge-transversal.,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
115,48,55,62,58,3,unsolvedmath-opg-50631,unsolvedmath:unsolvedmath-opg-50631,Cyclic spanning subdigraph with small cyclomatic number,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,needs_status_audit,18,15,7,12,0,4,2
116,48,53,58,81,28,unsolvedmath-nt-035,unsolvedmath:unsolvedmath-nt-035,Lehmer's Totient Problem,UnsolvedMath,number_theory,4,80,universal_claim,counterexample,new_strategy_only,20,15,16,16,3,6,5
117,48,53,58,77,24,unsolvedmath-nt-053,unsolvedmath:unsolvedmath-nt-053,Is 10 a Solitary Number?,UnsolvedMath,number_theory,3,60,universal_claim,counterexample,new_strategy_only,20,15,16,14,3,4,5
118,48,53,58,74,21,unsolvedmath-opg-636,unsolvedmath:unsolvedmath-opg-636,Even vs. odd latin squares,UnsolvedMath,combinatorics,2,40,universal_claim,counterexample,new_strategy_only,12,15,18,16,3,5,5
119,48,53,58,73,20,unsolvedmath-opg-37670,unsolvedmath:unsolvedmath-opg-37670,The Borodin-Kostochka Conjecture,UnsolvedMath,graph_theory,1,20,universal_claim,counterexample,new_strategy_only,12,15,16,14,3,8,5
